sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
28-38-28,pre,0.121589,,,,,,28-38-28,post,0.035227,,,,
28-38-28,pre,0.0564221,,,,,,28-38-28,post,0.157229,,,,
28-38-28,pre,0.151959,,,,,,28-38-28,post,0.0668355,,,,
28-38-28,pre,0.0515347,,,,,,28-38-28,post,0.0323117,,,,
28-38-28,pre,0.0541117,,,,,,28-38-28,post,0.0755599,,,,
28-38-28,pre,0.0321077,,,,,,28-38-28,post,0.109611,,,,
28-38-28,pre,0.164778,,,,,,28-38-28,post,0.0242516,,,,
28-38-28,pre,0.0331915,,,,,,28-38-28,post,0.0257355,,,,
28-38-28,pre,0.024092,,,,,,28-38-28,post,0.0851744,,,,
28-38-28,pre,0.0388605,,,,,,28-38-28,post,0.0966169,,,,
28-38-28,pre,0.0588362,,,,,,28-38-28,post,0.0475209,,,,
28-38-28,pre,0.062147,,,,,,28-38-28,post,0.0298187,,,,
28-38-28,pre,0.266397,,,,,,28-38-28,post,0.0326595,,,,
28-38-28,pre,0.160455,,,,,,28-38-28,post,0.0333128,,,,
28-38-28,pre,0.118761,,,,,,28-38-28,post,0.0538895,,,,
28-38-28,pre,0.0620469,,,,,,28-38-28,post,0.123275,,,,
28-38-28,pre,0.056116,,,,,,28-38-28,post,0.168276,,,,
28-38-28,pre,0.0585004,,,,,,28-38-28,post,0.0244927,,,,
28-38-28,pre,0.0332592,,,,,,28-38-28,post,0.0333932,,,,
28-38-28,pre,0.0557666,,,,,,28-38-28,post,0.319285,,,,
28-38-28,pre,0.0740544,,,,,,28-38-28,post,0.0242516,,,,
28-38-28,pre,0.052306,,,,,,28-38-28,post,0.0618438,,,,
28-38-28,pre,0.0243165,,,,,,28-38-28,post,0.11219,,,,
28-38-28,pre,0.132907,,,,,,28-38-28,post,0.0889013,,,,
28-38-28,pre,0.0421205,,,,,,28-38-28,post,0.0366296,,,,
28-38-28,pre,0.0673161,,,,,,28-38-28,post,0.0411987,,,,
28-38-28,pre,0.0460513,,,,,,28-38-28,post,0.0637674,,,,
28-38-28,pre,0.0333936,,,,,,28-38-28,post,0.0414377,,,,
28-38-28,pre,0.0269531,,,,,,28-38-28,post,0.136792,,,,
28-38-28,pre,0.0239781,,,,,,28-38-28,post,0.049455,,,,
28-38-28,pre,0.0429518,,,,,,28-38-28,post,0.036481,,,,
28-38-28,pre,0.413153,,,,,,28-38-28,post,0.0458954,,,,
28-38-28,pre,0.0721927,,,,,,28-38-28,post,0.0428931,,,,
28-38-28,pre,0.137908,,,,,,28-38-28,post,0.0271495,,,,
28-38-28,pre,0.171406,,,,,,28-38-28,post,0.0739119,,,,
28-38-28,pre,0.0270934,,,,,,28-38-28,post,0.0404294,,,,
28-38-28,pre,0.0754388,,,,,,28-38-28,post,0.0471521,,,,
28-38-28,pre,0.105396,,,,,,28-38-28,post,0.0252039,,,,
28-38-28,pre,0.0374892,,,,,,28-38-28,post,0.127498,,,,
28-38-28,pre,0.0850726,,,,,,28-38-28,post,0.0243023,,,,
28-38-28,pre,0.0330227,,,,,,28-38-28,post,0.024913,,,,
28-38-28,pre,0.505889,,,,,,28-38-28,post,0.0301575,,,,
28-38-28,pre,0.0239525,,,,,,28-38-28,post,0.0858389,,,,
28-38-28,pre,0.0301027,,,,,,28-38-28,post,0.0797538,,,,
28-38-28,pre,0.0557276,,,,,,28-38-28,post,0.0411525,,,,
28-38-28,pre,0.0618318,,,,,,28-38-28,post,0.0278755,,,,
28-38-28,pre,0.0463058,,,,,,28-38-28,post,0.0588465,,,,
28-38-28,pre,0.0355962,,,,,,28-38-28,post,0.0449646,,,,
28-38-28,pre,0.216216,,,,,,28-38-28,post,0.0708724,,,,
28-38-28,pre,0.0331817,,,,,,28-38-28,post,0.0407015,,,,
28-38-28,pre,0.106074,,,,,,28-38-28,post,0.150676,,,,
28-38-28,pre,0.0354048,,,,,,28-38-28,post,0.035877,,,,
28-38-28,pre,0.0482717,,,,,,28-38-28,post,0.429363,,,,
28-38-28,pre,0.0576895,,,,,,28-38-28,post,0.150531,,,,
28-38-28,pre,0.0563629,,,,,,28-38-28,post,0.0400543,,,,
28-38-28,pre,0.0297024,,,,,,28-38-28,post,0.0241395,,,,
28-38-28,pre,0.0540539,,,,,,28-38-28,post,0.0354803,,,,
28-38-28,pre,0.0328394,,,,,,28-38-28,post,0.0246846,,,,
