sample,ftc,Breadth3d (mm),,Bin,Frequency,frequency,,,sample,ftc,Breadth (mm),,Bin,Frequency,
41-50-28,pre,0.0938488,,,,,,,,,,,,,
41-50-28,pre,0.0412114,,,,,,,,,,,,,
41-50-28,pre,0.0338865,,,,,,,,,,,,,
41-50-28,pre,0.025328,,,,,,,,,,,,,
41-50-28,pre,0.0309519,,,,,,,,,,,,,
41-50-28,pre,0.0241831,,,,,,,,,,,,,
41-50-28,pre,0.0933438,,,,,,,,,,,,,
41-50-28,pre,0.0721932,,,,,,,,,,,,,
41-50-28,pre,0.0937322,,,,,,,,,,,,,
41-50-28,pre,0.0445444,,,,,,,,,,,,,
41-50-28,pre,0.0199568,,,,,,,,,,,,,
41-50-28,pre,0.0283789,,,,,,,,,,,,,
41-50-28,pre,0.0628563,,,,,,,,,,,,,
41-50-28,pre,0.0393723,,,,,,,,,,,,,
41-50-28,pre,0.15489,,,,,,,,,,,,,
41-50-28,pre,0.0498596,,,,,,,,,,,,,
41-50-28,pre,0.0411382,,,,,,,,,,,,,
41-50-28,pre,0.035356,,,,,,,,,,,,,
41-50-28,pre,0.0864855,,,,,,,,,,,,,
41-50-28,pre,0.0246465,,,,,,,,,,,,,
41-50-28,pre,0.127173,,,,,,,,,,,,,
41-50-28,pre,0.0564306,,,,,,,,,,,,,
41-50-28,pre,0.118256,,,,,,,,,,,,,
41-50-28,pre,0.0278276,,,,,,,,,,,,,
41-50-28,pre,0.0769559,,,,,,,,,,,,,
41-50-28,pre,0.0623083,,,,,,,,,,,,,
41-50-28,pre,0.0994351,,,,,,,,,,,,,
41-50-28,pre,0.0244378,,,,,,,,,,,,,
41-50-28,pre,0.0290481,,,,,,,,,,,,,
41-50-28,pre,0.0600959,,,,,,,,,,,,,
41-50-28,pre,0.0540808,,,,,,,,,,,,,
41-50-28,pre,0.0894007,,,,,,,,,,,,,
41-50-28,pre,0.0331516,,,,,,,,,,,,,
41-50-28,pre,0.125853,,,,,,,,,,,,,
41-50-28,pre,0.166008,,,,,,,,,,,,,
41-50-28,pre,0.0651746,,,,,,,,,,,,,
41-50-28,pre,0.0404977,,,,,,,,,,,,,
41-50-28,pre,0.173019,,,,,,,,,,,,,
41-50-28,pre,0.0932918,,,,,,,,,,,,,
41-50-28,pre,0.0372735,,,,,,,,,,,,,
41-50-28,pre,0.0306767,,,,,,,,,,,,,
41-50-28,pre,0.0523183,,,,,,,,,,,,,
41-50-28,pre,0.129595,,,,,,,,,,,,,
41-50-28,pre,0.0324934,,,,,,,,,,,,,
41-50-28,pre,0.0329112,,,,,,,,,,,,,
41-50-28,pre,0.0986987,,,,,,,,,,,,,
41-50-28,pre,0.12457,,,,,,,,,,,,,
41-50-28,pre,0.0871014,,,,,,,,,,,,,
41-50-28,pre,0.163107,,,,,,,,,,,,,
41-50-28,pre,0.073716,,,,,,,,,,,,,
41-50-28,pre,0.0271003,,,,,,,,,,,,,
41-50-28,pre,0.0549632,,,,,,,,,,,,,
41-50-28,pre,0.123358,,,,,,,,,,,,,
41-50-28,pre,0.0242157,,,,,,,,,,,,,
41-50-28,pre,0.0242157,,,,,,,,,,,,,
41-50-28,pre,0.0808172,,,,,,,,,,,,,
41-50-28,pre,0.209486,,,,,,,,,,,,,
41-50-28,pre,0.0337044,,,,,,,,,,,,,
41-50-28,pre,0.0429033,,,,,,,,,,,,,
41-50-28,pre,0.219233,,,,,,,,,,,,,
41-50-28,pre,0.0268025,,,,,,,,,,,,,
41-50-28,pre,0.0723897,,,,,,,,,,,,,
41-50-28,pre,0.0291181,,,,,,,,,,,,,
41-50-28,pre,0.186977,,,,,,,,,,,,,
41-50-28,pre,0.190593,,,,,,,,,,,,,
41-50-28,pre,0.0266788,,,,,,,,,,,,,
41-50-28,pre,0.0281284,,,,,,,,,,,,,
41-50-28,pre,0.0732291,,,,,,,,,,,,,
41-50-28,pre,0.0345696,,,,,,,,,,,,,
41-50-28,pre,0.0273181,,,,,,,,,,,,,
41-50-28,pre,0.0304314,,,,,,,,,,,,,
41-50-28,pre,0.0259328,,,,,,,,,,,,,
41-50-28,pre,0.0249129,,,,,,,,,,,,,
41-50-28,pre,0.117279,,,,,,,,,,,,,
41-50-28,pre,0.041871,,,,,,,,,,,,,
41-50-28,pre,0.0823408,,,,,,,,,,,,,
41-50-28,pre,0.0704593,,,,,,,,,,,,,
41-50-28,pre,0.0512018,,,,,,,,,,,,,
41-50-28,pre,0.0865339,,,,,,,,,,,,,
41-50-28,pre,0.0438373,,,,,,,,,,,,,
41-50-28,pre,0.0378476,,,,,,,,,,,,,
41-50-28,pre,0.129997,,,,,,,,,,,,,
41-50-28,pre,0.052976,,,,,,,,,,,,,
41-50-28,pre,0.0330293,,,,,,,,,,,,,
41-50-28,pre,0.0601589,,,,,,,,,,,,,
41-50-28,pre,0.0559266,,,,,,,,,,,,,
41-50-28,pre,0.0465303,,,,,,,,,,,,,
41-50-28,pre,0.0688622,,,,,,,,,,,,,
41-50-28,pre,0.0749466,,,,,,,,,,,,,
41-50-28,pre,0.0314526,,,,,,,,,,,,,
41-50-28,pre,0.0285363,,,,,,,,,,,,,
41-50-28,pre,0.0331817,,,,,,,,,,,,,
41-50-28,pre,0.038262,,,,,,,,,,,,,
41-50-28,pre,0.0242518,,,,,,,,,,,,,
41-50-28,pre,0.0342591,,,,,,,,,,,,,
41-50-28,pre,0.0711382,,,,,,,,,,,,,
41-50-28,pre,0.0391829,,,,,,,,,,,,,
41-50-28,pre,0.0709744,,,,,,,,,,,,,
41-50-28,pre,0.0704119,,,,,,,,,,,,,
41-50-28,pre,0.0444706,,,,,,,,,,,,,
41-50-28,pre,0.0320288,,,,,,,,,,,,,
41-50-28,pre,0.0333213,,,,,,,,,,,,,
41-50-28,pre,0.0378647,,,,,,,,,,,,,
41-50-28,pre,0.0246311,,,,,,,,,,,,,
41-50-28,pre,0.0244864,,,,,,,,,,,,,
41-50-28,pre,0.0838853,,,,,,,,,,,,,
41-50-28,pre,0.172794,,,,,,,,,,,,,
41-50-28,pre,0.185611,,,,,,,,,,,,,
41-50-28,pre,0.191354,,,,,,,,,,,,,
41-50-28,pre,0.0653794,,,,,,,,,,,,,
41-50-28,pre,0.0780232,,,,,,,,,,,,,
41-50-28,pre,0.0786344,,,,,,,,,,,,,
41-50-28,pre,0.137411,,,,,,,,,,,,,
41-50-28,pre,0.0298897,,,,,,,,,,,,,
41-50-28,pre,0.208663,,,,,,,,,,,,,
41-50-28,pre,0.024092,,,,,,,,,,,,,
41-50-28,pre,0.033385,,,,,,,,,,,,,
41-50-28,pre,0.0944781,,,,,,,,,,,,,
41-50-28,pre,0.0356753,,,,,,,,,,,,,
41-50-28,pre,0.0829675,,,,,,,,,,,,,
41-50-28,pre,0.0628891,,,,,,,,,,,,,
41-50-28,pre,0.0316459,,,,,,,,,,,,,
41-50-28,pre,0.0427133,,,,,,,,,,,,,
41-50-28,pre,0.06038,,,,,,,,,,,,,
41-50-28,pre,0.0485109,,,,,,,,,,,,,
41-50-28,pre,0.0533488,,,,,,,,,,,,,
41-50-28,pre,0.11805,,,,,,,,,,,,,
41-50-28,pre,0.260478,,,,,,,,,,,,,
41-50-28,pre,0.0763939,,,,,,,,,,,,,
41-50-28,pre,0.113682,,,,,,,,,,,,,
41-50-28,pre,0.0846679,,,,,,,,,,,,,
41-50-28,pre,0.0755602,,,,,,,,,,,,,
41-50-28,pre,0.0518128,,,,,,,,,,,,,
41-50-28,pre,0.0269517,,,,,,,,,,,,,
41-50-28,pre,0.0686162,,,,,,,,,,,,,
41-50-28,pre,0.187549,,,,,,,,,,,,,
41-50-28,pre,0.132434,,,,,,,,,,,,,
41-50-28,pre,0.0316847,,,,,,,,,,,,,
41-50-28,pre,0.0546136,,,,,,,,,,,,,
41-50-28,pre,0.0257369,,,,,,,,,,,,,
41-50-28,pre,0.0283444,,,,,,,,,,,,,
41-50-28,pre,0.107207,,,,,,,,,,,,,
41-50-28,pre,0.0510984,,,,,,,,,,,,,
41-50-28,pre,0.175038,,,,,,,,,,,,,
41-50-28,pre,0.0243176,,,,,,,,,,,,,
41-50-28,pre,0.0278841,,,,,,,,,,,,,
41-50-28,pre,0.0901296,,,,,,,,,,,,,
41-50-28,pre,0.0459055,,,,,,,,,,,,,
41-50-28,pre,0.0895744,,,,,,,,,,,,,
41-50-28,pre,0.0964801,,,,,,,,,,,,,
41-50-28,pre,0.0259927,,,,,,,,,,,,,
41-50-28,pre,0.0321377,,,,,,,,,,,,,
41-50-28,pre,0.0290027,,,,,,,,,,,,,
41-50-28,pre,0.0639001,,,,,,,,,,,,,
41-50-28,pre,0.0722932,,,,,,,,,,,,,
41-50-28,pre,0.0779363,,,,,,,,,,,,,
41-50-28,pre,0.0314366,,,,,,,,,,,,,
41-50-28,pre,0.14159,,,,,,,,,,,,,
41-50-28,pre,0.030529,,,,,,,,,,,,,
41-50-28,pre,0.0487562,,,,,,,,,,,,,
41-50-28,pre,0.0691778,,,,,,,,,,,,,
41-50-28,pre,0.0448144,,,,,,,,,,,,,
41-50-28,pre,0.11033,,,,,,,,,,,,,
41-50-28,pre,0.116414,,,,,,,,,,,,,
41-50-28,pre,0.0795432,,,,,,,,,,,,,
41-50-28,pre,0.0515552,,,,,,,,,,,,,
41-50-28,pre,0.0624672,,,,,,,,,,,,,
41-50-28,pre,0.0581048,,,,,,,,,,,,,
41-50-28,pre,0.0695094,,,,,,,,,,,,,
41-50-28,pre,0.0457415,,,,,,,,,,,,,
41-50-28,pre,0.100271,,,,,,,,,,,,,
41-50-28,pre,0.0654936,,,,,,,,,,,,,
41-50-28,pre,0.0561695,,,,,,,,,,,,,
41-50-28,pre,0.0703773,,,,,,,,,,,,,
41-50-28,pre,0.0807143,,,,,,,,,,,,,
41-50-28,pre,0.0555183,,,,,,,,,,,,,
41-50-28,pre,0.0962516,,,,,,,,,,,,,
41-50-28,pre,0.13123,,,,,,,,,,,,,
41-50-28,pre,0.075052,,,,,,,,,,,,,
41-50-28,pre,0.0278148,,,,,,,,,,,,,
41-50-28,pre,0.0333925,,,,,,,,,,,,,
41-50-28,pre,0.0355169,,,,,,,,,,,,,
41-50-28,pre,0.128269,,,,,,,,,,,,,
41-50-28,pre,0.047527,,,,,,,,,,,,,
41-50-28,pre,0.268813,,,,,,,,,,,,,
41-50-28,pre,0.0332833,,,,,,,,,,,,,
41-50-28,pre,0.0807664,,,,,,,,,,,,,
41-50-28,pre,0.097824,,,,,,,,,,,,,
41-50-28,pre,0.0413703,,,,,,,,,,,,,
41-50-28,pre,0.03339,,,,,,,,,,,,,
41-50-28,pre,0.0411435,,,,,,,,,,,,,
41-50-28,pre,0.0714565,,,,,,,,,,,,,
41-50-28,pre,0.0596051,,,,,,,,,,,,,
41-50-28,pre,0.0564623,,,,,,,,,,,,,
41-50-28,pre,0.0236087,,,,,,,,,,,,,
41-50-28,pre,0.0526442,,,,,,,,,,,,,
41-50-28,pre,0.0987262,,,,,,,,,,,,,
41-50-28,pre,0.0408397,,,,,,,,,,,,,
41-50-28,pre,0.0644811,,,,,,,,,,,,,
41-50-28,pre,0.0535246,,,,,,,,,,,,,
41-50-28,pre,0.145569,,,,,,,,,,,,,
41-50-28,pre,0.031946,,,,,,,,,,,,,
41-50-28,pre,0.0527653,,,,,,,,,,,,,
41-50-28,pre,0.0423172,,,,,,,,,,,,,
41-50-28,pre,0.118209,,,,,,,,,,,,,
41-50-28,pre,0.0395092,,,,,,,,,,,,,
41-50-28,pre,0.0305761,,,,,,,,,,,,,
41-50-28,pre,0.0286752,,,,,,,,,,,,,
41-50-28,pre,0.0462325,,,,,,,,,,,,,
41-50-28,pre,0.0329998,,,,,,,,,,,,,
41-50-28,pre,0.029767,,,,,,,,,,,,,
41-50-28,pre,0.180742,,,,,,,,,,,,,
41-50-28,pre,0.0865828,,,,,,,,,,,,,
41-50-28,pre,0.109417,,,,,,,,,,,,,
41-50-28,pre,0.0366407,,,,,,,,,,,,,
41-50-28,pre,0.0889251,,,,,,,,,,,,,
41-50-28,pre,0.0290293,,,,,,,,,,,,,
41-50-28,pre,0.0283917,,,,,,,,,,,,,
41-50-28,pre,0.0345129,,,,,,,,,,,,,
41-50-28,pre,0.0332451,,,,,,,,,,,,,
41-50-28,pre,0.0249077,,,,,,,,,,,,,
41-50-28,pre,0.0410166,,,,,,,,,,,,,
41-50-28,pre,0.0509054,,,,,,,,,,,,,
41-50-28,pre,0.0546364,,,,,,,,,,,,,
41-50-28,pre,0.0405793,,,,,,,,,,,,,
41-50-28,pre,0.0393322,,,,,,,,,,,,,
41-50-28,pre,0.0649802,,,,,,,,,,,,,
41-50-28,pre,0.443582,,,,,,,,,,,,,
41-50-28,pre,0.0913469,,,,,,,,,,,,,
41-50-28,pre,0.0620318,,,,,,,,,,,,,
41-50-28,pre,0.113409,,,,,,,,,,,,,
41-50-28,pre,0.120103,,,,,,,,,,,,,
41-50-28,pre,0.0294706,,,,,,,,,,,,,
41-50-28,pre,0.0298116,,,,,,,,,,,,,
41-50-28,pre,0.0252072,,,,,,,,,,,,,
41-50-28,pre,0.0323512,,,,,,,,,,,,,
41-50-28,pre,0.0296612,,,,,,,,,,,,,
41-50-28,pre,0.0518154,,,,,,,,,,,,,
41-50-28,pre,0.0752423,,,,,,,,,,,,,
41-50-28,pre,0.0753618,,,,,,,,,,,,,
41-50-28,pre,0.0533608,,,,,,,,,,,,,
41-50-28,pre,0.0334284,,,,,,,,,,,,,
41-50-28,pre,0.0513503,,,,,,,,,,,,,
41-50-28,pre,0.0637554,,,,,,,,,,,,,
41-50-28,pre,0.0432037,,,,,,,,,,,,,
41-50-28,pre,0.0909608,,,,,,,,,,,,,
41-50-28,pre,0.0385183,,,,,,,,,,,,,
41-50-28,pre,0.145547,,,,,,,,,,,,,
41-50-28,pre,0.110222,,,,,,,,,,,,,
41-50-28,pre,0.0354207,,,,,,,,,,,,,
