site,sample,trmt,breadth_mm,breadth_um,freq
tool,41-50-16,after,0.13,130,0.018348624
tool,41-50-16,after,0.135,135,0.009174312
tool,41-50-16,after,0.14,140,0.009174312
tool,41-50-16,after,0.145,145,0
tool,41-50-16,after,0.15,150,0.009174312
tool,41-50-16,after,0.155,155,0
tool,41-50-16,after,0.16,160,0
tool,28-38-12,before,0.005,5,0
tool,28-38-12,before,0.01,10,0
tool,28-38-12,before,0.015,15,0.007246377
tool,28-38-12,before,0.02,20,0
tool,28-38-12,before,0.025,25,0.02173913
tool,28-38-12,before,0.03,30,0.086956522
tool,28-38-12,before,0.035,35,0.101449275
tool,28-38-12,before,0.04,40,0.101449275
tool,28-38-12,before,0.045,45,0.065217391
tool,28-38-12,before,0.05,50,0.072463768
tool,28-38-12,before,0.055,55,0.028985507
tool,28-38-12,before,0.06,60,0.028985507
tool,28-38-12,before,0.065,65,0.036231884
tool,28-38-12,before,0.07,70,0.057971014
tool,28-38-12,before,0.075,75,0.02173913
tool,28-38-12,before,0.08,80,0.014492754
tool,28-38-12,before,0.085,85,0.014492754
tool,28-38-12,before,0.09,90,0.036231884
tool,28-38-12,before,0.095,95,0.050724638
tool,28-38-12,before,0.1,100,0.043478261
tool,28-38-12,before,0.105,105,0.036231884
tool,28-38-12,before,0.11,110,0.043478261
tool,28-38-12,before,0.115,115,0.028985507
tool,28-38-12,before,0.12,120,0.036231884
tool,28-38-12,before,0.125,125,0.028985507
tool,28-38-12,before,0.13,130,0.014492754
tool,28-38-12,before,0.135,135,0.007246377
tool,28-38-12,before,0.14,140,0
tool,28-38-12,before,0.145,145,0.007246377
tool,28-38-12,before,0.15,150,0
tool,28-38-12,before,0.155,155,0
tool,28-38-12,before,0.16,160,0.007246377
tool,28-38-12,after,0.005,5,0
tool,28-38-12,after,0.01,10,0
tool,28-38-12,after,0.015,15,0
tool,28-38-12,after,0.02,20,0.014285714
tool,28-38-12,after,0.025,25,0.071428571
tool,28-38-12,after,0.03,30,0.071428571
tool,28-38-12,after,0.035,35,0.042857143
tool,28-38-12,after,0.04,40,0.057142857
tool,28-38-12,after,0.045,45,0.042857143
tool,28-38-12,after,0.05,50,0.057142857
tool,28-38-12,after,0.055,55,0.014285714
tool,28-38-12,after,0.06,60,0.028571429
tool,28-38-12,after,0.065,65,0.128571429
tool,28-38-12,after,0.07,70,0.085714286
tool,28-38-12,after,0.075,75,0.042857143
tool,28-38-12,after,0.08,80,0.042857143
tool,28-38-12,after,0.085,85,0.071428571
tool,28-38-12,after,0.09,90,0.028571429
tool,28-38-12,after,0.095,95,0.014285714
tool,28-38-12,after,0.1,100,0.042857143
tool,28-38-12,after,0.105,105,0
tool,28-38-12,after,0.11,110,0.042857143
tool,28-38-12,after,0.115,115,0.042857143
tool,28-38-12,after,0.12,120,0.014285714
tool,28-38-12,after,0.125,125,0
tool,28-38-12,after,0.13,130,0
tool,28-38-12,after,0.135,135,0
tool,28-38-12,after,0.14,140,0
tool,28-38-12,after,0.145,145,0.042857143
tool,28-38-12,after,0.15,150,0
tool,28-38-12,after,0.155,155,0
tool,28-38-12,after,0.16,160,0
tool,28-38-28,before,0.005,5,0
tool,28-38-28,before,0.01,10,0
tool,28-38-28,before,0.015,15,0.003937008
tool,28-38-28,before,0.02,20,0.003937008
tool,28-38-28,before,0.025,25,0.043307087
tool,28-38-28,before,0.03,30,0.051181102
tool,28-38-28,before,0.035,35,0.122047244
tool,28-38-28,before,0.04,40,0.098425197
tool,28-38-28,before,0.045,45,0.098425197
tool,28-38-28,before,0.05,50,0.078740157
