,site,top,bottom,moisture,ftc,length_3d_mm,width_3d_mm,area_3d_mm,vol_3d_mm,eq_diam_mm,eq_sa_mm,pore_shape_factor
129,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
130,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
131,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
132,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
133,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
134,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
135,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
136,tool,40,50,0.16,before,0.0215651,0.0159545,0.000600901,2.20E-06,0.0161305,0.000817421,1.360324766
137,tool,40,50,0.16,before,0.0299331,0.0160607,0.000859452,3.30E-06,0.0184648,0.001071122,1.24628527
138,tool,40,50,0.16,before,0.0380479,0.0160607,0.001118,4.40E-06,0.0203232,0.00129758,1.160625882
139,tool,40,50,0.16,before,0.0380479,0.0160607,0.001118,4.40E-06,0.0203232,0.00129758,1.160625882
140,tool,40,50,0.16,before,0.045495,0.0166327,0.00191612,7.69E-06,0.0244909,0.00188434,0.983414616
141,tool,40,50,0.16,before,0.0371394,0.0166327,0.00111818,4.40E-06,0.0203232,0.00129758,1.16043905
142,tool,40,50,0.16,before,0.0382029,0.0167618,0.00133767,5.49E-06,0.0218925,0.001505707,1.125619485
143,tool,40,50,0.16,before,0.0374439,0.0167809,0.000898514,3.30E-06,0.0184648,0.001071122,1.192104261
144,tool,40,50,0.16,before,0.0318325,0.016788,0.000881911,3.30E-06,0.0184648,0.001071122,1.21454701
145,tool,40,50,0.16,before,0.0400617,0.0170583,0.00138579,5.49E-06,0.0218925,0.001505707,1.086533613
146,tool,40,50,0.16,before,0.0437404,0.0174065,0.00223314,9.89E-06,0.0266309,0.002228033,0.997712951
147,tool,40,50,0.16,before,0.0318325,0.0174125,0.00111818,4.40E-06,0.0203232,0.00129758,1.16043905
148,tool,40,50,0.16,before,0.0351024,0.0175343,0.000881027,3.30E-06,0.0184648,0.001071122,1.215765655
149,tool,40,50,0.16,before,0.0380479,0.0176199,0.00133767,5.49E-06,0.0218925,0.001505707,1.125619485
150,tool,40,50,0.16,before,0.0524306,0.0182751,0.00272814,1.21E-05,0.0284732,0.002546962,0.933589109
151,tool,40,50,0.16,before,0.0609643,0.0183697,0.00211387,8.79E-06,0.0256056,0.002059775,0.974409504
152,tool,40,50,0.16,before,0.030152,0.0184534,0.000617508,2.20E-06,0.0161305,0.000817421,1.323740765
153,tool,40,50,0.16,before,0.0417589,0.0189986,0.00135907,5.49E-06,0.0218925,0.001505707,1.107895411
154,tool,40,50,0.16,before,0.0510629,0.0190489,0.0031452,1.43E-05,0.0301037,0.002847014,0.905193362
155,tool,40,50,0.16,before,0.0510629,0.0190489,0.0022722,9.89E-06,0.0266309,0.002228033,0.980561878
156,tool,40,50,0.16,before,0.0472371,0.0191791,0.00181589,7.69E-06,0.0244909,0.00188434,1.037695243
157,tool,40,50,0.16,before,0.0524129,0.0194208,0.00233336,9.89E-06,0.0266309,0.002228033,0.954860244
158,tool,40,50,0.16,before,0.0615735,0.0195305,0.00192413,7.69E-06,0.0244909,0.00188434,0.979320739
159,tool,40,50,0.16,before,0.0356328,0.0195661,0.00112227,4.40E-06,0.0203232,0.00129758,1.156209946
160,tool,40,50,0.16,before,0.0419578,0.0201055,0.00138579,5.49E-06,0.0218925,0.001505707,1.086533613
161,tool,40,50,0.16,before,0.0589061,0.020133,0.00174475,6.59E-06,0.0232642,0.001700302,0.974524835
162,tool,40,50,0.16,before,0.0418623,0.0202329,0.00142059,5.49E-06,0.0218925,0.001505707,1.059916947
163,tool,40,50,0.16,before,0.0473943,0.0202588,0.00189004,7.69E-06,0.0244909,0.00188434,0.99698441
164,tool,40,50,0.16,before,0.0660228,0.0203161,0.00246065,9.89E-06,0.0266309,0.002228033,0.9054651
165,tool,40,50,0.16,before,0.0469667,0.0206196,0.00181626,7.69E-06,0.0244909,0.00188434,1.037483848
166,tool,40,50,0.16,before,0.0676005,0.0207383,0.00313644,1.32E-05,0.0293111,0.00269907,0.860552009
167,tool,40,50,0.16,before,0.0469667,0.0207783,0.00203593,8.79E-06,0.0256056,0.002059775,1.011712101
168,tool,40,50,0.16,before,0.0475907,0.0214113,0.00189078,7.69E-06,0.0244909,0.00188434,0.996594217
169,tool,40,50,0.16,before,0.0533665,0.0214443,0.0025573,1.10E-05,0.0275828,0.002390158,0.934641143
170,tool,40,50,0.16,before,0.113605,0.0215651,0.00558165,2.53E-05,0.0364094,0.004164635,0.746129681
