site,sample,trmt,breadth_mm3,Pc
tool,41_50_16,before,0.0785101,-0.048692017
tool,41_50_16,before,0.0784391,-0.048687809
tool,41_50_16,before,0.0783511,-0.048682594
tool,41_50_16,before,0.0781361,-0.048669859
tool,41_50_16,before,0.0780913,-0.048667206
tool,41_50_28,before,0.0780232,-0.048663174
tool,41_50_16,before,0.0779832,-0.048660806
tool,41_50_28,before,0.0779363,-0.04865803
tool,41_50_16,before,0.0778897,-0.048655272
tool,41_50_16,before,0.0778719,-0.048654218
tool,28_38_28,after,0.0778186,-0.048651064
tool,40_50_16,before,0.0778135,-0.048650762
tool,41_50_16,before,0.0777852,-0.048649088
tool,28_38_12,before,0.0776721,-0.048642397
tool,28_38_28,after,0.0776593,-0.04864164
tool,41_50_16,after,0.0775898,-0.048637529
tool,28_38_28,after,0.0775139,-0.048633041
tool,28_38_28,after,0.0774951,-0.048631929
tool,41_50_16,before,0.0772583,-0.048617932
tool,41_50_16,before,0.0771976,-0.048614345
tool,41_50_28,before,0.0771877,-0.04861376
tool,28_38_12,after,0.0771843,-0.04861356
tool,28_38_28,before,0.0770873,-0.048607829
tool,40_50_16,before,0.0770366,-0.048604835
tool,41_50_16,before,0.0769865,-0.048601876
tool,28_38_28,after,0.0769719,-0.048601014
tool,41_50_16,before,0.0769683,-0.048600801
tool,41_50_16,before,0.0769584,-0.048600217
tool,41_50_28,before,0.0769559,-0.048600069
tool,41_50_16,before,0.0768861,-0.048595948
tool,40_50_16,before,0.0766468,-0.048581824
tool,41_50_16,before,0.0766158,-0.048579995
tool,41_50_28,before,0.0763939,-0.048566906
tool,40_50_16,before,0.0763894,-0.048566641
tool,41_50_16,before,0.076372,-0.048565615
tool,40_50_16,before,0.0763711,-0.048565562
tool,28_38_28,before,0.0763011,-0.048561434
tool,40_50_16,after,0.0763,-0.048561369
tool,40_50_28,after,0.0762838,-0.048560414
tool,41_50_16,before,0.0762203,-0.048556671
tool,28_38_28,before,0.0762143,-0.048556317
tool,41_50_16,before,0.0761149,-0.048550459
tool,28_38_28,after,0.0761097,-0.048550153
tool,41_50_28,before,0.0760673,-0.048547654
tool,40_50_28,before,0.0760253,-0.04854518
tool,41_50_16,before,0.075944,-0.04854039
tool,28_38_28,before,0.0759391,-0.048540102
tool,41_50_16,after,0.0759119,-0.0485385
tool,41_50_16,before,0.0758231,-0.04853327
tool,40_50_16,before,0.07579,-0.048531321
tool,41_50_16,before,0.0757279,-0.048527665
tool,41_50_16,before,0.0757234,-0.0485274
tool,40_50_28,before,0.0757015,-0.04852611
tool,41_50_16,before,0.0756431,-0.048522673
tool,41_50_16,before,0.0756062,-0.048520501
tool,41_50_16,after,0.0755817,-0.048519059
tool,41_50_28,before,0.0755602,-0.048517794
tool,28_38_28,after,0.0755599,-0.048517776
tool,28_38_28,before,0.0755489,-0.048517129
tool,41_50_16,before,0.0755256,-0.048515757
tool,28_38_28,before,0.0754388,-0.04851065
tool,41_50_16,before,0.0753869,-0.048507597
tool,41_50_16,before,0.0753821,-0.048507315
tool,41_50_28,before,0.0753618,-0.048506121
tool,40_50_16,before,0.0753525,-0.048505574
tool,28_38_12,after,0.0753277,-0.048504115
tool,28_38_28,before,0.075302,-0.048502603
tool,41_50_16,before,0.0752719,-0.048500833
tool,41_50_28,before,0.0752423,-0.048499093
tool,41_50_16,before,0.075169,-0.048494783
tool,28_38_12,before,0.0750799,-0.048489545
tool,40_50_16,before,0.0750769,-0.048489368
tool,28_38_28,after,0.0750661,-0.048488733
tool,41_50_28,before,0.075052,-0.048487905
tool,41_50_28,before,0.0749466,-0.04848171
tool,40_50_16,before,0.0746077,-0.048461804
tool,41_50_16,before,0.0744495,-0.048452517
tool,41_50_28,before,0.0743253,-0.048445229
tool,41_50_16,after,0.0742197,-0.048439034
