site,sample,trmt,breadth_mm3,Pc
tool,28_38_28,after,0.147571,-0.053161162
tool,28_38_28,before,0.147331,-0.053144211
tool,41_50_16,before,0.146836,-0.053109283
tool,28_38_28,after,0.146725,-0.053101457
tool,41_50_16,before,0.146641,-0.053095536
tool,41_50_28,before,0.146532,-0.053087855
tool,28_38_28,after,0.146204,-0.053064755
tool,41_50_16,before,0.14598,-0.053048991
tool,41_50_16,before,0.145934,-0.053045755
tool,41_50_28,before,0.145569,-0.053020091
tool,41_50_28,before,0.145547,-0.053018545
tool,41_50_16,before,0.144853,-0.052969819
tool,41_50_16,before,0.14447,-0.052942967
tool,28_38_28,after,0.144129,-0.052919083
tool,28_38_12,after,0.144066,-0.052914672
tool,41_50_28,before,0.144018,-0.052911313
tool,41_50_16,before,0.143964,-0.052907534
tool,40_50_16,after,0.1433,-0.052861107
tool,40_50_16,before,0.142738,-0.052821877
tool,28_38_12,before,0.142467,-0.05280298
tool,41_50_16,before,0.142463,-0.052802701
tool,41_50_28,before,0.142108,-0.052777968
tool,41_50_16,before,0.141994,-0.052770031
tool,41_50_28,before,0.14159,-0.052741921
tool,40_50_28,before,0.141286,-0.052720788
tool,28_38_28,before,0.141241,-0.052717661
tool,41_50_16,before,0.141239,-0.052717522
tool,41_50_16,before,0.141064,-0.052705366
tool,28_38_12,after,0.140542,-0.05266914
tool,28_38_12,after,0.140397,-0.052659086
tool,40_50_16,after,0.1401,-0.052638505
tool,41_50_16,before,0.139812,-0.052618563
tool,41_50_16,after,0.139748,-0.052614133
tool,40_50_16,before,0.139628,-0.05260583
tool,41_50_16,before,0.139609,-0.052604515
tool,40_50_16,before,0.13852,-0.052529285
tool,28_38_28,before,0.137908,-0.052487101
tool,41_50_16,before,0.13785,-0.052483107
tool,41_50_16,before,0.137619,-0.052467205
tool,41_50_28,before,0.137411,-0.052452894
tool,28_38_28,after,0.136792,-0.052410352
tool,28_38_28,after,0.136728,-0.052405958
tool,41_50_16,before,0.136127,-0.052364726
tool,41_50_16,before,0.13594,-0.05235191
tool,41_50_16,before,0.135359,-0.052312131
tool,28_38_28,after,0.135247,-0.05230447
tool,28_38_28,before,0.135,-0.052287582
tool,41_50_16,before,0.134572,-0.052258344
tool,41_50_28,before,0.133826,-0.052207462
tool,28_38_28,before,0.13309,-0.052157359
tool,28_38_28,before,0.132907,-0.052144916
tool,40_50_16,after,0.1327,-0.052130848
tool,41_50_28,before,0.132434,-0.052112782
tool,41_50_16,before,0.132337,-0.052106198
tool,40_50_16,before,0.132288,-0.052102872
tool,28_38_28,after,0.132095,-0.052089777
tool,41_50_16,before,0.131962,-0.052080756
tool,41_50_16,before,0.13173,-0.052065029
tool,41_50_16,before,0.131705,-0.052063335
tool,41_50_16,after,0.131581,-0.052054934
tool,41_50_16,before,0.131554,-0.052053105
tool,41_50_28,before,0.13123,-0.052031167
tool,28_38_28,before,0.131142,-0.052025211
tool,28_38_12,before,0.130917,-0.052009991
tool,41_50_16,before,0.130646,-0.051991671
tool,41_50_16,before,0.130425,-0.05197674
tool,41_50_28,before,0.130034,-0.051950346
tool,41_50_28,before,0.129997,-0.05194785
tool,40_50_16,before,0.129771,-0.051932607
tool,41_50_16,before,0.129712,-0.051928629
tool,41_50_28,before,0.129638,-0.051923641
tool,28_38_28,after,0.129633,-0.051923304
tool,41_50_28,before,0.129595,-0.051920743
tool,40_50_16,before,0.129384,-0.051906527
tool,40_50_16,before,0.129215,-0.051895146
tool,41_50_16,before,0.129132,-0.051889558
tool,41_50_16,before,0.128908,-0.051874484
tool,41_50_16,before,0.128871,-0.051871995
tool,28_38_28,after,0.128563,-0.051851285
tool,28_38_12,before,0.128471,-0.051845102
tool,41_50_16,before,0.128283,-0.051832472
tool,41_50_28,before,0.128269,-0.051831532
tool,41_50_16,after,0.128085,-0.051819177
tool,28_38_28,after,0.12767,-0.051791333
tool,41_50_16,before,0.12767,-0.051791333
tool,28_38_28,before,0.127664,-0.05179093
tool,28_38_28,after,0.127498,-0.051779801
tool,41_50_28,before,0.127413,-0.051774104
tool,28_38_28,after,0.127389,-0.051772496
tool,41_50_16,before,0.127242,-0.051762648
tool,41_50_28,before,0.127173,-0.051758026
tool,41_50_16,before,0.127134,-0.051755414
tool,40_50_16,after,0.1271,-0.051753138
tool,41_50_16,after,0.12671,-0.051727036
tool,41_50_28,before,0.125853,-0.051669773
tool,28_38_28,before,0.125755,-0.051663233
tool,28_38_28,after,0.125669,-0.051657495
tool,41_50_28,before,0.125665,-0.051657228
tool,40_50_16,before,0.12563,-0.051654894
tool,41_50_16,before,0.12552,-0.051647557
tool,28_38_28,before,0.125505,-0.051646557
tool,41_50_16,before,0.125289,-0.051632157
tool,28_38_12,before,0.125262,-0.051630358
tool,41_50_16,before,0.125207,-0.051626693
tool,41_50_16,before,0.124776,-0.05159799
tool,28_38_28,before,0.124739,-0.051595527
tool,41_50_16,before,0.124698,-0.051592799
tool,41_50_28,before,0.12457,-0.051584282
tool,28_38_28,after,0.124541,-0.051582353
