sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,before,4.84E-05,0.0656223,0.009583,0.000037,0.560338486
40-50-16,before,5.27E-05,0.0595642,0.009071,0.000034,0.559519082
40-50-16,before,4.07E-05,0.0565031,0.00683,0.000022,0.555919457
40-50-16,before,3.52E-05,0.0341354,0.007263,0.000024,0.553998907
40-50-16,before,4.51E-05,0.049475,0.008107,0.000028,0.550042152
40-50-16,before,7.69E-06,0.0255789,0.001398,0.000002,0.549115391
40-50-16,before,5.16E-05,0.0557262,0.010327,0.00004,0.547709081
40-50-16,before,1.76E-05,0.0323044,0.003537,0.000008,0.546901426
40-50-16,before,8.79E-06,0.0302279,0.000886,0.000001,0.545821203
40-50-16,before,3.08E-05,0.0609022,0.005154,0.000014,0.545035848
40-50-16,before,4.29E-05,0.0574517,0.006985,0.000022,0.543583378
40-50-16,before,7.91E-05,0.0481781,0.013847,0.000061,0.541188204
40-50-16,before,6.92E-05,0.0753525,0.013018,0.000055,0.537256465
40-50-16,before,3.08E-05,0.0577936,0.005725,0.000016,0.536358649
40-50-16,before,0.000115383,0.0964287,0.019144,0.000097,0.533293056
40-50-16,before,5.16E-05,0.0454203,0.010274,0.000038,0.532026944
40-50-16,before,4.51E-05,0.0632757,0.008626,0.000029,0.529183957
40-50-16,before,0.000046153,0.0395702,0.009245,0.000032,0.527242642
40-50-16,before,5.93E-05,0.0681843,0.012038,0.000047,0.523192718
40-50-16,before,3.30E-05,0.0664188,0.005871,0.000016,0.523020485
40-50-16,before,8.79E-05,0.0763711,0.016009,0.000072,0.522807229
40-50-16,before,5.16E-05,0.0539681,0.009905,0.000035,0.522406222
40-50-16,before,5.60E-05,0.0595824,0.010501,0.000038,0.520526124
40-50-16,before,5.49E-05,0.0504199,0.009407,0.000032,0.518162882
40-50-16,before,0.000162634,0.0778135,0.025083,0.000139,0.5173461
40-50-16,before,0.000125272,0.105764,0.020066,0.000099,0.515758958
40-50-16,before,0.000073625,0.0722323,0.013124,0.000052,0.513357761
40-50-16,before,6.15E-05,0.0613477,0.012355,0.000047,0.509768834
40-50-16,before,2.86E-05,0.0412341,0.004705,0.000011,0.50837746
40-50-16,before,4.51E-05,0.0425221,0.008621,0.000027,0.504857705
40-50-16,before,7.91E-05,0.0519631,0.013855,0.000055,0.504800048
40-50-16,before,4.29E-05,0.0524962,0.008261,0.000025,0.500508558
40-50-16,before,3.41E-05,0.0691122,0.005359,0.000013,0.498918111
